index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,view_history,semantic_distance,verbal_acc_corrected
23,2862.599999964237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,24,1,dot,carriage,carriage_mooney_dot_off2,target,horizontal_flip,pre,off,21x7tm212b4ebfr,html-keyboard-response,130,382054,0.0-11.0-5.23-1.23,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
24,1089.5999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,25,1,dot,puddle,puddle_mooney_dot_off8,target,regular,post,off,21x7tm212b4ebfr,html-keyboard-response,134,384161,0.0-11.0-5.24-1.24,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
25,2566.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,26,1,dot,ginger,ginger_mooney_dot_off4,catch,upside_down,pre,off,21x7tm212b4ebfr,html-keyboard-response,138,387737,0.0-11.0-5.25-1.25,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
26,2129.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,27,1,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,21x7tm212b4ebfr,html-keyboard-response,142,390884,0.0-11.0-5.26-1.26,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
27,869.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,28,1,dot,puddle,puddle_mooney_dot_off6,target,regular,post,off,21x7tm212b4ebfr,html-keyboard-response,146,392769,0.0-11.0-5.27-1.27,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
28,1230,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,29,1,dot,pomegranate,pomegranate_mooney_dot_off6,target,upside_down,post,off,21x7tm212b4ebfr,html-keyboard-response,150,395014,0.0-11.0-5.28-1.28,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
29,3085.099999964237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,30,1,dot,puddle,puddle_mooney_dot_on5,target,regular,post,on,21x7tm212b4ebfr,html-keyboard-response,154,399116,0.0-11.0-5.29-1.29,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
30,1145.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/ginger_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,31,1,dot,ginger,ginger_mooney_dot_off2,catch,upside_down,pre,off,21x7tm212b4ebfr,html-keyboard-response,158,401265,0.0-11.0-5.30-1.30,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
31,3202.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,32,1,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,21x7tm212b4ebfr,html-keyboard-response,162,405474,0.0-11.0-5.31-1.31,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
32,1128.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,33,1,dot,carriage,carriage_mooney_dot_on3,target,horizontal_flip,pre,on,21x7tm212b4ebfr,html-keyboard-response,166,407620,0.0-11.0-5.32-1.32,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
33,2891.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,34,1,dot,eclair,eclair_mooney_dot_on3,target,upside_down,pre,on,21x7tm212b4ebfr,html-keyboard-response,170,411520,0.0-11.0-5.33-1.33,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
34,3000.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,35,1,dot,backpack,backpack_mooney_dot_on5,target,horizontal_flip,post,on,21x7tm212b4ebfr,html-keyboard-response,174,415534,0.0-11.0-5.34-1.34,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
35,2857.599999964237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,36,1,dot,pedal,pedal_mooney_dot_on7,catch,regular,post,on,21x7tm212b4ebfr,html-keyboard-response,178,419398,0.0-11.0-5.35-1.35,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
36,808.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,37,1,dot,backpack,backpack_mooney_dot_off6,target,horizontal_flip,post,off,21x7tm212b4ebfr,html-keyboard-response,182,421215,0.0-11.0-5.36-1.36,Chrome,135.0,Windows,10,undefined,undefined,2048 x 1280,1790 x 1159,https://exponline.ugr.es/publix/939/997/start?srid=18440,67786e11eee5b0656f62cc7b,30,28,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
