block,image_id,image_type,manipulation,phase,subject,verbal_id,semantic_distance,verbal_acc_corrected
4,bat2,target,upside_down,pre,y27k8tfxaogk75r,wheel,0.7135678592417526,0.0
5,bat2,target,upside_down,post,y27k8tfxaogk75r,hockey_stick,0.3873427414196285,0.0
5,figurine,target,horizontal_flip,post,y27k8tfxaogk75r,human_face,0.6841199264816813,0.0
5,ginger,target,regular,post,y27k8tfxaogk75r,ginger,0.0,1.0
0,missile,target,regular,pre,px4j9q9cahay7yw,,,0.0
0,shears,target,upside_down,pre,px4j9q9cahay7yw,mask,0.772876073898662,0.0
0,gargoyle,target,horizontal_flip,pre,px4j9q9cahay7yw,wasp,0.5789953161889829,0.0
1,garlic,target,horizontal_flip,pre,px4j9q9cahay7yw,palm_tree,0.6572229509029488,0.0
1,missile,target,regular,post,px4j9q9cahay7yw,beach_ball,0.7137230560808494,0.0
1,gargoyle,target,horizontal_flip,post,px4j9q9cahay7yw,rabbit,0.48168497684672,0.0
1,magnifier,target,upside_down,pre,px4j9q9cahay7yw,washing_machine,0.7011213237863925,0.0
1,shears,target,upside_down,post,px4j9q9cahay7yw,knife,0.4901868475430959,0.0
1,punching_bag,target,regular,pre,px4j9q9cahay7yw,saw,0.79196172306479,0.0
2,lip_gloss,target,upside_down,pre,px4j9q9cahay7yw,rocket,0.7381975569750283,0.0
2,rattlesnake,target,regular,pre,px4j9q9cahay7yw,snake,0.2809631244376995,0.0
2,garlic,target,horizontal_flip,post,px4j9q9cahay7yw,box,0.8068094340820853,0.0
2,magnifier,target,upside_down,post,px4j9q9cahay7yw,magnifying_glass,0.1927747533103778,0.0
2,polar_bear,target,horizontal_flip,pre,px4j9q9cahay7yw,sea_horse,0.4137094941837057,0.0
2,punching_bag,target,regular,post,px4j9q9cahay7yw,boxing_gloves,0.2853525499233431,0.0
3,sidecar,target,horizontal_flip,pre,px4j9q9cahay7yw,prawn,0.7776023916415652,0.0
3,rattlesnake,target,regular,post,px4j9q9cahay7yw,snake,0.2809631244376995,0.0
3,grasshopper,target,regular,pre,px4j9q9cahay7yw,lipstick,0.8462538738950482,0.0
3,backpack,target,upside_down,pre,px4j9q9cahay7yw,tree,0.7205059186553548,0.0
3,polar_bear,target,horizontal_flip,post,px4j9q9cahay7yw,tree,0.6545682808214943,0.0
3,lip_gloss,target,upside_down,post,px4j9q9cahay7yw,rocket,0.7381975569750283,0.0
4,backpack,target,upside_down,post,px4j9q9cahay7yw,fish,0.7970270915496478,0.0
4,surfboard,target,horizontal_flip,pre,px4j9q9cahay7yw,brick,0.8125464321015812,0.0
4,sidecar,target,horizontal_flip,post,px4j9q9cahay7yw,bug,0.8089782548863638,0.0
4,sandal,target,regular,pre,px4j9q9cahay7yw,car,0.7288184774171919,0.0
4,drill,target,upside_down,pre,px4j9q9cahay7yw,chain,0.7663927815059346,0.0
4,grasshopper,target,regular,post,px4j9q9cahay7yw,bug,0.422122652357514,0.0
5,drill,target,upside_down,post,px4j9q9cahay7yw,sandal,0.8136223780291361,0.0
5,surfboard,target,horizontal_flip,post,px4j9q9cahay7yw,canoe,0.4875704078914479,0.0
5,sandal,target,regular,post,px4j9q9cahay7yw,sandal,0.0,1.0
0,backpack,target,regular,pre,e0qq5plag9smtkz,hat,0.5599623800808339,0.0
0,carriage,target,upside_down,pre,e0qq5plag9smtkz,canoe,0.5699827020134336,0.0
0,bat2,target,horizontal_flip,pre,e0qq5plag9smtkz,gun,0.6546829000862524,0.0
1,backpack,target,regular,post,e0qq5plag9smtkz,hat,0.5599623800808339,0.0
1,bat2,target,horizontal_flip,post,e0qq5plag9smtkz,,,0.0
1,carriage,target,upside_down,post,e0qq5plag9smtkz,box,0.7143197289293022,0.0
1,magnifier,target,horizontal_flip,pre,e0qq5plag9smtkz,box,0.710162270607475,0.0
1,axe,target,upside_down,pre,e0qq5plag9smtkz,,,0.0
1,ginger,target,regular,pre,e0qq5plag9smtkz,,,0.0
2,sidecar,target,regular,pre,e0qq5plag9smtkz,snail,0.6915628754597152,0.0
